                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0854,                 4.5305,                 2.9781,                      0,                      0,                      0,                      0,                      0,                 153.88,                      0,                 0.0001,                 0.0001,                 0.0001
                      2,                 2.7993,                 4.1317,                 2.8031,                      0,                      0,                      0,                      0,                      0,                 166.17,                      0,                 0.0001,                 0.0001,                 0.0001
                      3,                 2.7964,                 4.1299,                 2.7955,                      0,                      0,                      0,                      0,                      0,                 146.16,                      0,             9.9901e-05,             9.9901e-05,             9.9901e-05
                      4,                 2.7827,                 4.1182,                 2.7897,                      0,                      0,                      0,                      0,                      0,                 155.72,                      0,             9.9802e-05,             9.9802e-05,             9.9802e-05
                      5,                 2.7771,                  4.121,                 2.7906,                      0,                      0,                      0,                      0,                      0,                 141.63,                      0,             9.9703e-05,             9.9703e-05,             9.9703e-05
                      6,                 2.7694,                 4.1127,                 2.7853,                      0,                      0,                      0,                      0,                      0,                  149.4,                      0,             9.9604e-05,             9.9604e-05,             9.9604e-05
                      7,                 2.7686,                 4.1045,                 2.7799,                      0,                      0,                      0,                      0,                      0,                 138.59,                      0,             9.9505e-05,             9.9505e-05,             9.9505e-05
                      8,                 2.7646,                 4.1084,                 2.7813,                      0,                      0,                      0,                      0,                      0,                 145.52,                      0,             9.9406e-05,             9.9406e-05,             9.9406e-05
                      9,                 2.7458,                 4.1045,                 2.7761,                      0,                      0,                      0,                      0,                      0,                 143.43,                      0,             9.9307e-05,             9.9307e-05,             9.9307e-05
                     10,                 2.7529,                 4.1129,                 2.7694,                      0,                      0,                      0,                      0,                      0,                  149.4,                      0,             9.9208e-05,             9.9208e-05,             9.9208e-05
